Songs,Artist,rank
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1
Heat Waves,Glass Animals,2
abcdefu,GAYLE,3
Easy On Me,Adele,4
Super Gremlin,Kodak Black,5
Stay,The Kid LAROI & Justin Bieber,6
Ghost,Justin Bieber,7
Shivers,Ed Sheeran,8
Bad Habits,Ed Sheeran,9
Cold Heart (PNAU Remix),Elton John & Dua Lipa,10
Thats What I Want,Lil Nas X,11
Need To Know,Doja Cat,12
Surface Pressure,Jessica Darrow,13
Pushin P,Gunna & Future Featuring Young Thug,14
Industry Baby,Lil Nas X & Jack Harlow,15
Levitating,Dua Lipa,16
MAMIII,Becky G X Karol G,17
Nail Tech,Jack Harlow,18
Save Your Tears,The Weeknd & Ariana Grande,19
Enemy,Imagine Dragons X JID,20
Big Energy,Latto,21
One Right Now,Post Malone & The Weeknd,22
Hrs And Hrs,Muni Long,23
Woman,Doja Cat,24
'Til You Can't,Cody Johnson,25
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",26
Good 4 U,Olivia Rodrigo,27
I Hate U,SZA,28
Light Switch,Charlie Puth,29
Sand In My Boots,Morgan Wallen,30
Buy Dirt,Jordan Davis Featuring Luke Bryan,31
Knife Talk,Drake Featuring 21 Savage & Project Pat,32
You Right,Doja Cat & The Weeknd,33
Love Nwantiti (Ah Ah Ah),CKay,34
Fancy Like,Walker Hayes,35
One Mississippi,Kane Brown,36
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,37
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,38
Fingers Crossed,Lauren Spencer-Smith,39
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),40
Essence,Wizkid Featuring Justin Bieber & Tems,41
Ahhh Ha,Lil Durk,42
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,43
Do We Have A Problem?,Nicki Minaj X Lil Baby,44
Oh My God,Adele,45
Dos Oruguitas,Sebastian Yatra,46
You Should Probably Leave,Chris Stapleton,47
Sacrifice,The Weeknd,48
Doin' This,Luke Combs,49
Better Days,NEIKED X Mae Muller X Polo G,50
To Be Loved By You,Parker McCollum,51
Beers On Me,"Dierks Bentley, Breland & HARDY",52
AA,Walker Hayes,53
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",54
Never Say Never,Cole Swindell / Lainey Wilson,55
23,Sam Hunt,56
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,57
Heart On Fire,Eric Church,58
Broadway Girls,Lil Durk Featuring Morgan Wallen,59
Waiting On A Miracle,Stephanie Beatriz,60
Banking On Me,Gunna,61
She's All I Wanna Be,Tate McRae,62
Me Or Sum,"Nardo Wick, Lil Baby & Future",63
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,64
Boyfriend,Dove Cameron,65
Rumors,Gucci Mane Featuring Lil Durk,66
Pressure,Ari Lennox,67
Numb Little Bug,Em Beihold,68
High,The Chainsmokers,69
Peru,Fireboy DML & Ed Sheeran,70
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",71
Bussin,Nicki Minaj X Lil Baby,72
Worst Day,Future,73
Beautiful Lies,Yung Bleu & Kehlani,74
P Power,Gunna Featuring Drake,75
Circles Around This Town,Maren Morris,76
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",77
Cigarettes,Juice WRLD,78
If I Was A Cowboy,Miranda Lambert,79
I Love You So,The Walters,80
Scorpio,Moneybagg Yo,81
Do It To It,Acraze Featuring Cherish,82
By Your Side,Rod Wave,83
Freedom Was A Highway,Jimmie Allen & Brad Paisley,84
The Motto,Tiesto & Ava Max,85
Don't Play That,King Von & 21 Savage,86
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,87
Flower Shops,ERNEST Featuring Morgan Wallen,88
Good Morning Gorgeous,Mary J. Blige,89
When I'm Gone,Alesso / Katy Perry,90
Poppin,Yeat,91
Come Back As A Country Boy,Blake Shelton,92
Iffy,Chris Brown,93
Home Sweet,Russell Dickerson,94
Pray,Jessie Murph,95
Closer,Saweetie Featuring H.E.R.,96
Cold December,Rod Wave,97
Get Into It (Yuh),Doja Cat,98
All Too Well (Taylor's Version),Taylor Swift,99
Give Heaven Some Hell,HARDY,100
